state,x,y
Andhra Pradesh,-67.0,-126.0
Arunachal Pradesh,195.0,136.0
Assam,172.0,99.0
Bihar,56.0,79.0
Chhattisgarh,-10.0,-1.0
Goa,-152.0,-115.0
Gujarat,-192.0,30.0
Haryana,-106.0,142.0
Himachal Pradesh,-91.0,197.0
Jharkhand,47.0,39.0
Karnataka,-123.0,-127.0
Kerala,-111.0,-208.0
Madhya Pradesh,-73.0,37.0
Maharashtra,-131.0,-39.0
Manipur,193.0,68.0
Meghalaya,146.0,79.0
Mizoram,179.0,39.0
Nagaland,203.0,95.0
Odisha,36.0,-11.0
Punjab,-119.0,173.0
Rajasthan,-152.0,101.0
Sikkim,102.0,105.0
Tamil Nadu,-72.0,-196.0
Telangana,-65.0,-69.0
Tripura,153.0,49.0
Uttarakhand,-58.0,162.0
Uttar Pradesh,-44.0,107.0
West Bengal,89.0,30.0
